study_hours,attendance,assignments_score,previous_score,performance_score
2.797064039425237514e+00,8.908088595534958642e+01,7.000000000000000000e+01,6.719482420977035986e+01,6.146011965955570133e+01
5.628109945722504115e+00,9.164383499538061528e+01,6.000000000000000000e+01,6.784445851270746175e+01,6.875640321418953249e+01
6.331731119758382320e+00,4.041712783187143998e+01,2.000000000000000000e+01,7.462009310487445646e+01,5.175449859346161929e+01
1.418053714479979632e+00,7.064483815465393945e+01,0.000000000000000000e+00,8.082639336058630875e+01,4.212196902224999917e+01
6.467903667112945065e+00,6.504466018892674128e+01,0.000000000000000000e+00,9.830964556237742613e+01,6.024228743916487616e+01
2.534717113185623649e+00,5.332646862824381628e+01,1.000000000000000000e+02,6.614102438108366755e+01,5.747102459188874235e+01
1.585464336867515645e+00,4.719192204002096958e+01,2.000000000000000000e+01,5.260695310588721441e+01,3.370611179707959337e+01
9.539969835279999089e+00,6.025691028421768181e+01,5.000000000000000000e+01,8.566303363380924907e+01,7.509989548534673531e+01
9.690688297671034235e+00,9.657458223475114778e+01,6.000000000000000000e+01,4.895825758834519092e+01,7.745527484878718383e+01
8.275576133048151206e+00,5.939217592124531109e+01,5.000000000000000000e+01,6.072799944939453098e+01,6.485677224180440703e+01
3.741523922560336057e+00,7.112743730460196900e+01,5.000000000000000000e+01,3.549194669395861723e+01,4.787941776732115784e+01
1.879049026057454830e+00,8.218113753371066821e+01,5.000000000000000000e+01,3.177455203908202463e+01,4.412606947137054192e+01
7.158097238609411939e+00,6.181777614275763710e+01,2.000000000000000000e+01,9.738538902745474957e+01,6.527508300838132982e+01
4.961372443656411946e+00,9.830692496325764296e+01,5.000000000000000000e+01,8.851860843585441785e+01,7.159050068074725459e+01
2.098344113603009653e+00,9.774683769652668275e+01,7.000000000000000000e+01,7.871819442655885268e+01,6.441129037158040660e+01
5.456592191001432113e+00,5.510693774952184754e+01,1.000000000000000000e+02,5.862670610899888857e+01,6.480318753763447148e+01
1.309496690036965560e+00,6.983491035354312260e+01,1.000000000000000000e+02,4.213060240495920539e+01,5.191986825973648223e+01
9.183883618709039354e+00,5.805269858900618374e+01,1.000000000000000000e+01,4.095059298697601946e+01,5.430247375012267241e+01
3.329019834400152256e+00,5.709042966264805585e+01,4.000000000000000000e+01,4.751700287152166879e+01,4.413891763674288171e+01
6.962700559185837967e+00,4.221321684127196505e+01,0.000000000000000000e+00,6.844586652942842875e+01,4.855287252023261146e+01
3.805399684804698701e+00,7.657386003879381065e+01,0.000000000000000000e+00,8.002171458900436107e+01,5.056509271136363992e+01
5.680612190600297318e+00,7.016074139373168350e+01,4.000000000000000000e+01,7.621381637024119016e+01,6.163547601279411481e+01
5.920392514089517277e+00,4.308872507499935978e+01,2.000000000000000000e+01,4.959537278621600365e+01,4.493220200757238558e+01
2.663690099729743466e+00,5.671878785419669100e+01,3.000000000000000000e+01,9.684056964642358878e+01,5.238090967434429501e+01
9.726261649881026372e+00,9.449595315799922446e+01,2.000000000000000000e+01,8.165278416870378919e+01,7.721596928131882009e+01
7.976195410250030982e+00,5.437371344001834927e+01,0.000000000000000000e+00,6.880478367579804910e+01,5.472321050970418810e+01
9.455490474077702601e+00,4.869369232547338555e+01,0.000000000000000000e+00,7.282045223640466247e+01,5.874500756270261803e+01
9.053446153848838662e+00,6.936716561665377867e+01,4.000000000000000000e+01,5.937200436994529440e+01,6.734513095819627893e+01
6.381099809299766612e+00,9.913902724663603294e+01,5.000000000000000000e+01,4.734116926508102097e+01,6.576334855582855710e+01
9.296868115208051009e+00,5.452331629069002616e+01,2.000000000000000000e+01,5.491808750558831065e+01,5.925095529469373901e+01
1.796432518467275585e+00,8.032813284435272294e+01,8.000000000000000000e+01,8.304922773250584100e+01,6.223363769961646597e+01
2.763845761772306897e+00,8.569717691972306284e+01,4.000000000000000000e+01,3.100754420408291168e+01,4.546771756626841210e+01
1.407045600194842594e+00,5.425825263954398281e+01,7.000000000000000000e+01,3.812508483548413807e+01,4.131697116934155645e+01
3.927972976869379185e+00,8.369298091671157636e+01,0.000000000000000000e+00,3.322018494152268886e+01,4.101221039516670430e+01
4.498095607205337743e+00,6.206698796315519218e+01,4.000000000000000000e+01,3.285101616232790889e+01,4.522378785298678849e+01
3.442141285965063080e+00,7.793834983561475838e+01,2.000000000000000000e+01,8.988224088077049601e+01,5.628157153699149973e+01
8.458637582367364516e+00,7.801178264565368181e+01,0.000000000000000000e+00,7.925605015660165975e+01,6.469287094766592361e+01
4.210779940242304065e+00,7.214648104448551180e+01,3.000000000000000000e+01,6.319216803611276134e+01,5.246700209087647693e+01
3.528410587186426639e+00,4.541738620326449904e+01,4.000000000000000000e+01,3.684839124557010592e+01,3.915167612376792761e+01
5.884264748424236302e+00,9.011814973535427953e+01,6.000000000000000000e+01,6.441311125817826166e+01,6.828560949365584065e+01
2.268318024772863595e+00,5.924680389830415095e+01,0.000000000000000000e+00,6.314302395463959527e+01,3.740241103755452912e+01
8.219772826786357456e+00,5.119111062399124989e+01,2.000000000000000000e+01,4.212413089370106434e+01,5.198812885978215093e+01
1.670955793117937294e+00,4.244650849328583320e+01,1.000000000000000000e+01,6.036961544665811630e+01,3.271689836433979792e+01
9.881982429404654766e+00,7.545357659129450667e+01,8.000000000000000000e+01,5.789533140781614406e+01,7.898317428799163054e+01
7.950202923669916544e+00,8.065386171053694397e+01,9.000000000000000000e+01,7.310950686365515594e+01,8.029145091455777106e+01
2.788441133807551431e+00,4.099526973567137134e+01,5.000000000000000000e+01,7.445655556073506887e+01,4.722827972552426701e+01
1.049699054112421592e+00,7.072558349795686183e+01,9.000000000000000000e+01,3.317128068404311847e+01,4.712331320783726341e+01
8.339152856093507538e+00,5.358974651187627813e+01,2.000000000000000000e+01,5.622288302385298664e+01,5.647061595221283881e+01
7.361716094628554252e+00,7.871036742456698221e+01,7.000000000000000000e+01,7.381019409999655068e+01,7.421528866502654864e+01
7.561064512368885993e+00,5.046198574029948247e+01,7.000000000000000000e+01,6.521953810060614387e+01,6.560357449733305657e+01
7.941433120173511995e+00,8.145626428614795600e+01,1.000000000000000000e+01,8.995428888318255645e+01,6.867693765285315521e+01
1.666401865606813359e+00,6.320412077803224804e+01,5.000000000000000000e+01,7.610855421332615833e+01,4.982737434466004345e+01
4.226191556898453605e+00,9.620379932420406988e+01,6.000000000000000000e+01,4.140540989570007469e+01,5.908087697567139429e+01
2.042821535726167426e+00,4.825125664875959330e+01,1.000000000000000000e+01,3.493981231803009280e+01,2.892623184887592558e+01
8.767930832880342251e+00,6.046398106301550968e+01,1.000000000000000000e+02,7.496934947444208319e+01,8.016212513300541787e+01
6.609683141448021715e+00,4.680841127443534333e+01,9.000000000000000000e+01,3.185579173791352758e+01,5.749510017743128287e+01
3.978082223673842677e+00,9.548161709671376229e+01,1.000000000000000000e+01,7.100429068914243658e+01,5.555572361748557597e+01
1.572025152574212825e+00,9.264036120285885545e+01,9.000000000000000000e+01,9.581611689974702983e+01,6.983019498337411335e+01
3.798840895440959819e+00,5.547649766290933826e+01,0.000000000000000000e+00,7.028319245131152115e+01,4.283644521487809698e+01
3.926649898240723413e+00,7.959904276205074325e+01,7.000000000000000000e+01,5.717189483445653764e+01,5.997268409384899002e+01
7.566455605042576416e+00,8.903333201207294678e+01,0.000000000000000000e+00,7.503017529096472060e+01,6.371524364088715231e+01
6.738017242196917778e+00,7.331204869596774643e+01,8.000000000000000000e+01,6.207770233440616181e+01,7.006148948418423572e+01
8.984914683186939754e+00,7.177903470136038777e+01,1.000000000000000000e+02,6.819317525211545217e+01,8.194779653792977570e+01
5.249934326457543321e+00,5.451113745402710009e+01,5.000000000000000000e+01,9.590253661435676236e+01,6.335322149646859913e+01
2.076348213444715540e+00,4.558616606835395402e+01,6.000000000000000000e+01,5.702718464605419513e+01,4.388238231893618035e+01
7.419203085006954801e+00,9.383294547719961542e+01,9.000000000000000000e+01,9.728333946767399709e+01,8.803668049123926664e+01
7.847065437552076972e+00,9.402508342979982103e+01,6.000000000000000000e+01,9.337454493692446533e+01,8.239110340433730073e+01
6.051494778125466212e+00,7.798608743639607610e+01,9.000000000000000000e+01,4.370537943525074809e+01,6.657735105228809402e+01
7.938704619591049116e+00,6.034178746292204210e+01,2.000000000000000000e+01,3.485529106126158183e+01,5.161538348981905244e+01
5.444160367279517132e+00,6.095257447675965068e+01,1.000000000000000000e+01,3.705446009641986649e+01,4.283423974513343069e+01
5.704595464437946184e+00,8.355734073221435665e+01,8.000000000000000000e+01,3.127552779560848251e+01,6.182200352526955101e+01
4.847869165226946109e+00,9.382661559715462829e+01,7.000000000000000000e+01,3.661100725291498748e+01,6.115301320819824582e+01
1.228772140696856585e+00,9.322518545590703809e+01,9.000000000000000000e+01,7.781047413914498634e+01,6.444523132085356565e+01
1.971022842939740061e+00,8.679253275145742919e+01,6.000000000000000000e+01,3.498320539221602843e+01,4.835700306473759014e+01
